feature,r_squared,variance_explained_pct
corrected_visits_step1,1.0,100.0
corrected_visits_per_sq_ft,0.4348786099778636,43.487860997786356
visits_per_sq_ft,0.4348786099778636,43.487860997786356
competitors_20mi,0.12816729235783356,12.816729235783356
competitors_10mi,0.07163051612291808,7.163051612291809
saturation_20mi,0.0579110534456351,5.79110534456351
pct_bachelor_plus,0.05010817106172107,5.010817106172107
affluent_market_5mi,0.04898179379221684,4.898179379221684
pop_20mi,0.044770833626082085,4.477083362608209
competition_weighted_20mi,0.043027913285812715,4.302791328581272
